ticker,PE_ratio,ROE,DE_ratio,dividend_yield,revenue_growth,profit_margin,current_ratio,market_cap_raw,beta,sector,forward_return
ADSK,45.156616,0.40333998,94.504,,0.18,0.16129999,0.823,10.694064087679365,1.453,Technology,0.454485051577098
ADP,20.430355,0.73843,70.044,3.24,0.062,0.19964,1.032,10.934590120608199,0.847,Technology,0.18538884469203176
AZO,26.94288,,,,0.082,0.12776,0.86,10.807379193112325,0.406,Consumer Cyclical,0.0433376004213864
AVB,23.873661,0.088879995,78.826,4.06,0.03,0.34569,0.231,10.398198499407941,0.754,Real Estate,0.1350819575981631
AVY,22.221022,0.30212998,166.491,1.92,0.039,0.07769,1.127,10.179400319603806,0.986,Consumer Cyclical,0.293942596967862
AXON,135.3239,0.10028,69.33,,0.306,0.100509994,3.124,10.533825891503374,1.483,Industrials,0.09133577845505708
BKR,23.5,0.14552,35.255,1.5,0.003,0.09332,1.357,10.780902066655631,0.859,Energy,0.184967986130114
BALL,20.41818,0.16122,129.349,1.2,0.162,0.069299996,1.114,10.263337584193286,1.138,Consumer Cyclical,0.27147875293307006
BAC,13.754593,0.1019,,2.09,0.132,0.28401,,11.582844028419185,1.273,Financial Services,0.338076451142104
BAX,,-0.12642,134.627,2.78,0.08,-0.085109994,,10.010953208576609,,Healthcare,-0.22402532591255264
BDX,28.976309,0.0696,77.284,2.36,0.016,0.08014,1.049,10.807856930658117,0.285,Healthcare,-0.03344914104992752
BBY,21.79208,0.22493,154.542,5.86,0.024,0.015420001,1.045,10.142169951511821,1.469,Consumer Cyclical,-0.24912420743740177
TECH,111.801895,0.03966,17.449,0.54,-0.004,0.06672,4.539,9.967109746744644,1.469,Healthcare,-0.21468061691439644
BIIB,22.403408,0.07394,36.466,,-0.071,0.13071999,2.679,10.461400125335802,0.164,Healthcare,0.44942727954920886
BLK,30.342031,0.10686,24.32,1.97,0.234,0.22930999,,11.220081256812096,1.488,Financial Services,0.135996090134611
BX,33.645996,0.29228002,60.811,3.65,0.506,0.21243,1.022,11.204421885384594,1.761,Financial Services,0.3482094721184595
XYZ,10.07646,0.14692001,36.049,,0.023,0.13081001,2.183,10.484697886862797,2.668,Technology,0.18304999237056335
BK,15.847297,0.12898,,1.84,0.078,0.2759,,10.91263718044205,1.094,Financial Services,0.3680650282873143
BA,97.156624,2.90084,1032.894,,0.571,0.02498,1.188,11.278733389240204,1.14,Industrials,0.044313801558907295
BKNG,27.067244,,,0.92,0.127,0.19371,1.334,11.129145012365907,1.186,Consumer Cyclical,-0.08593524702161107
BSX,38.819584,0.12675,50.973,,0.159,0.14437,,11.047999567806148,0.657,Healthcare,0.24715352570822618
BMY,17.539017,0.40333998,274.414,4.21,0.013,0.14637,,11.091960189413973,0.295,Healthcare,0.3969508633873597
AVGO,68.48847,0.31048,166.032,0.79,0.164,0.36198002,1.705,12.19003086997297,1.221,Technology,-0.16138176318082528
BR,19.22979,0.41793,117.175,2.29,0.078,0.14864,0.972,10.306914388509437,0.979,Technology,-0.1972993440277211
BRO,21.66139,0.11226,62.475,0.91,0.361,0.18289,1.039,10.368663400740315,0.786,Financial Services,-0.020743580411134832
BLDR,22.333017,0.13555999,117.723,,-0.069,0.03795,1.786,10.114436896391743,1.549,Industrials,0.44458244841694655
BG,29.117926,0.05964,89.812,2.3,0.755,0.0116,1.612,10.377895251466597,0.754,Consumer Defensive,-0.023613766905435873
BXP,35.45115,0.04916,225.887,4.74,0.083,0.082320005,1.483,10.038094355878481,1.014,Real Estate,0.39105553108486696
CHRW,36.826088,0.32911,75.604,1.5,-0.065,0.036170002,1.528,10.3224892919922,0.896,Industrials,0.0940202518699505
CDNS,77.010284,0.21736,47.685,,0.101,0.20354,3.048,10.911848854681097,1.005,Technology,0.07278034193834437
CPT,30.655367,0.08598,87.89,3.94,0.022,0.24229,0.029,10.063276694126648,0.83,Real Estate,0.27845820183162867
CPB,15.164948,0.14815,184.567,5.38,-0.034,0.056900002,0.819,9.943054501356265,-0.036,Consumer Defensive,-0.041486818173605444
COF,62.011944,0.02394,,1.55,0.516,0.074829996,,11.1207953373606,1.124,Financial Services,0.09300716726441549
CAH,31.665468,,,0.95,0.188,0.00679,0.906,10.714222177144496,0.663,Healthcare,0.2654538123877191
CCL,15.888615,0.25632998,227.882,0.46,0.066,0.10366999,0.322,10.647045063695048,2.442,Consumer Cyclical,-0.15912046376656058
CARR,38.692307,0.10925,87.719,1.48,-0.06,0.06824,1.199,10.73763651025782,1.335,Industrials,-0.17115526183485733
CVNA,78.72727,0.6815,192.409,,0.545,0.03444,4.047,10.8756440362621,3.573,Consumer Cyclical,-0.17836148302768667
CAT,41.32536,0.43526,203.255,0.8,0.18,0.13144,1.436,11.561295474143476,1.554,Industrials,0.3282473487282422
CBOE,26.238483,0.2336,30.434,1.06,0.087,0.23334,1.872,10.456522907675025,0.347,Financial Services,0.4539466482162798
CBRE,36.988342,0.13572,103.792,,0.118,0.02853,1.095,10.628274834548966,1.314,Real Estate,-0.20656321226096866
CDW,15.860767,0.43018,235.609,1.99,0.063,0.04756,1.176,10.225208176129215,1.051,Technology,0.4135752139666325
COR,43.233177,1.33467,472.584,0.68,0.055,0.0049900003,0.916,10.844928563211232,0.685,Healthcare,0.12702800990784824
CNC,,-0.28678,86.762,,0.231,-0.037890002,1.1,10.298669077453178,0.488,Healthcare,0.3283930558741866
CNP,26.838606,0.09606,202.111,2.21,0.071,0.11367,0.513,10.442242619301087,0.593,Utilities,-0.017872367285773627
CF,11.472793,0.21967,44.133,2.12,0.211,0.20472,2.273,10.186617192695193,0.689,Basic Materials,0.07948195505467726
CRL,,-0.021879999,76.251,,-0.005,-0.020450002,1.366,9.898441722044279,1.62,Healthcare,-0.20686676849244837
SCHW,20.1957,0.18110001,99.789,1.35,0.189,0.37005,,11.231640945127786,0.909,Financial Services,0.23068396028733779
CHTR,6.6309032,0.28667998,482.329,,-0.023,0.09105,0.387,10.492366918224194,1.047,Communication Services,0.01911246010156825
CVX,27.824774,0.0716,21.239,3.9,-0.06,0.06611,,11.56617922912469,0.672,Energy,0.015001045603663998
CMG,32.092106,0.47355,179.319,,0.049,0.12878,1.235,10.684625841738823,0.996,Consumer Cyclical,0.27332439952218107
CB,12.622516,0.14337,25.256,1.17,0.08,0.17131001,0.36,11.105572661347603,0.488,Financial Services,-0.29880938036385335
CHD,33.546356,0.1762,55.097,1.23,0.039,0.11878,1.066,10.392345110312828,0.468,Consumer Defensive,0.4158683610569229
CI,13.133514,0.1513,75.137,2.17,0.104,0.02167,0.849,10.890862499878322,0.283,Healthcare,-0.17878601343902695
CINF,10.715744,0.16036,5.568,2.15,0.218,0.18945,1.104,10.404470235570004,0.646,Financial Services,0.46028333476330135
CTAS,41.87689,0.43396,72.656,0.92,0.093,0.17584999,1.705,10.891637403433798,0.954,Industrials,0.215868968056324
CSCO,27.681656,0.23754999,63.043,2.24,0.097,0.18756,0.955,11.482954292344113,0.865,Technology,0.40820766939451963
